feature,offering_type,count,mean,std,min,25%,50%,75%,max
price_egp,Buy,18198.0,10604869.205352236,7531456.0105123315,113116.0,5000000.0,8400000.0,14516625.0,34500000.0
lat,Buy,18198.0,29.900620338615184,0.8497968030892467,25.069366455078125,29.988460540771484,30.02766227722168,30.07073402404785,31.497467041015625
lon,Buy,18198.0,31.279821858614117,1.1626187773047088,25.47613525390625,30.990314483642585,31.465532302856445,31.595441818237305,34.89657211303711
bedrooms,Buy,18198.0,2.901307836025937,1.0817735634674461,0.0,2.0,3.0,3.0,7.0
bathrooms,Buy,18198.0,2.809869216397406,1.1579199289162179,1.0,2.0,3.0,3.0,7.0
area_value,Buy,18198.0,168.30794592812396,101.55518465119773,1.0,108.0,160.0,220.0,1683.0
images_count,Buy,18198.0,11.446257830530827,3.8985101077871684,1.0,10.0,10.0,13.0,30.0
agent_id,Buy,18198.0,56814.67166721618,15720.049701325548,5708.0,48646.0,60480.0,70255.5,73845.0
year,Buy,18198.0,2024.78030552808,0.7798099871443755,2022.0,2024.0,2025.0,2025.0,2026.0
month,Buy,18198.0,6.3289372458511926,3.5936583703581557,1.0,3.0,6.0,10.0,12.0
week,Buy,18198.0,25.762061765029124,15.618363253820279,1.0,11.0,24.0,41.0,52.0
days_since_listed,Buy,18198.0,29.302560720958347,17.257939103236694,0.0,14.0,29.0,44.0,60.0
listing_age_days,Buy,18198.0,352.5127486536982,240.4792786980175,0.0,157.0,329.0,496.0,1521.0
area_flag,Buy,18198.0,0.0018683371799098803,0.043185055019968534,0.0,0.0,0.0,0.0,1.0
amen_balcony,Buy,18198.0,0.9418067919551599,0.23411486590798036,0.0,1.0,1.0,1.0,1.0
amen_security,Buy,18198.0,0.8968018463567425,0.30422587108488286,0.0,1.0,1.0,1.0,1.0
amen_covered_parking,Buy,18198.0,0.6405648972414552,0.479848061766963,0.0,0.0,1.0,1.0,1.0
amen_view_of_landmark,Buy,18198.0,0.6278162435432465,0.48340029854139155,0.0,0.0,1.0,1.0,1.0
amen_shared_gym,Buy,18198.0,0.6539180129684581,0.47573278414226533,0.0,0.0,1.0,1.0,1.0
amen_lobby_in_building,Buy,18198.0,0.5887460160457193,0.49207463900682147,0.0,0.0,1.0,1.0,1.0
amen_central_a_c,Buy,18198.0,0.389328497637103,0.4876114067627188,0.0,0.0,0.0,1.0,1.0
amen_kitchen_appliances,Buy,18198.0,0.3523464116935927,0.4777143061516532,0.0,0.0,0.0,1.0,1.0
amen_built_in_wardrobes,Buy,18198.0,0.4520826464446642,0.4977123060342576,0.0,0.0,0.0,1.0,1.0
amen_shared_spa,Buy,18198.0,0.601934278492142,0.4895125845068368,0.0,0.0,1.0,1.0,1.0
amen_shared_pool,Buy,18198.0,0.5931970546213869,0.491251025671988,0.0,0.0,1.0,1.0,1.0
amen_walk_in_closet,Buy,18198.0,0.5325859984613693,0.4989507319162162,0.0,0.0,1.0,1.0,1.0
amen_study,Buy,18198.0,0.5103308055830311,0.4999069984700422,0.0,0.0,1.0,1.0,1.0
amen_children_s_pool,Buy,18198.0,0.5117595340147268,0.4998754287706744,0.0,0.0,1.0,1.0,1.0
amen_view_of_water,Buy,18198.0,0.5228596549071326,0.49949088679256615,0.0,0.0,1.0,1.0,1.0
amen_private_garden,Buy,18198.0,0.44911528739421913,0.49741767385286934,0.0,0.0,0.0,1.0,1.0
amen_maids_room,Buy,18198.0,0.38702055170897903,0.48708180148547303,0.0,0.0,0.0,1.0,1.0
amen_private_pool,Buy,18198.0,0.27695351137487634,0.44750560721369403,0.0,0.0,0.0,1.0,1.0
amen_networked,Buy,18198.0,5.495109352676118e-05,0.007412900480025426,0.0,0.0,0.0,0.0,1.0
amen_dining_in_building,Buy,18198.0,5.495109352676118e-05,0.007412900480025426,0.0,0.0,0.0,0.0,1.0
price_per_sqm,Buy,18198.0,77020.51058846067,154849.13482571515,557.9399141630902,40000.0,60649.16387959866,87859.04104941762,14000000.0
total_rooms,Buy,18198.0,5.711177052423343,2.1281929367406014,1.0,4.0,6.0,7.0,14.0
is_furnished_binary,Buy,18198.0,0.06857896472139796,0.25274374485247686,0.0,0.0,0.0,0.0,1.0
amenity_count,Buy,18198.0,9.929332893724585,5.509193992606262,0.0,5.0,9.0,15.0,18.0
price_egp,Rent,18672.0,68761.63972793487,39227.42932872894,1300.0,38000.0,60000.0,90000.0,190000.0
lat,Rent,18672.0,30.03505121854604,0.1362784690459435,26.86422348022461,30.00575065612793,30.02259635925293,30.05146217346192,31.31935310363769
lon,Rent,18672.0,31.3872943424014,0.2784317592004034,27.55477333068848,31.2748384475708,31.511394500732425,31.53697395324707,33.97156524658203
bedrooms,Rent,18672.0,2.7387532133676094,0.9834917767417825,0.0,2.0,3.0,3.0,7.0
bathrooms,Rent,18672.0,2.6899635818337617,1.0318218716774852,1.0,2.0,3.0,3.0,7.0
area_value,Rent,18672.0,198.67154027420736,96.66051263482936,1.0,140.0,180.0,231.0,1300.0
images_count,Rent,18672.0,12.851756640959726,5.344796565172271,1.0,9.0,11.0,15.0,30.0
agent_id,Rent,18672.0,50294.291345329904,19058.574386476408,5500.0,36332.0,54130.0,66899.0,73796.0
year,Rent,18672.0,2024.7809018851756,0.7790804821985232,2022.0,2024.0,2025.0,2025.0,2026.0
month,Rent,18672.0,6.30419880034276,3.5905104578712423,1.0,3.0,6.0,10.0,12.0
week,Rent,18672.0,25.611771636675236,15.608786990012048,1.0,11.0,23.0,41.0,52.0
days_since_listed,Rent,18672.0,29.29070265638389,17.419550525362542,0.0,14.0,29.0,44.0,60.0
