segment,model,feature,importance
Classification,RandomForest,area_value,0.015211054799163968
Classification,RandomForest,log_area,0.01353510357806183
Classification,RandomForest,bedrooms,8.416436370795886e-07
Classification,RandomForest,bathrooms,0.0
Classification,RandomForest,bed_bath_ratio,4.542825981005392e-05
Classification,RandomForest,total_rooms,0.00010355701255850806
Classification,RandomForest,area_per_room,0.024986874574423005
Classification,RandomForest,area_x_beds,0.004917820791428179
Classification,RandomForest,area_flag,3.01166195606357e-05
Classification,RandomForest,amenity_count,0.015320863476422914
Classification,RandomForest,is_furnished_binary,0.4300775852757703
Classification,RandomForest,has_pool,0.02101403333544497
Classification,RandomForest,has_private_pool,0.017120443446802903
Classification,RandomForest,has_gym,0.006225598921808154
Classification,RandomForest,has_garden,0.00016469805595127187
Classification,RandomForest,has_parking,0.00016884690948611086
Classification,RandomForest,has_security,1.6333622497257608e-06
Classification,RandomForest,has_balcony,6.079124327496114e-05
Classification,RandomForest,has_ac,0.06962311393069656
Classification,RandomForest,days_listed,1.8608300628090898e-05
Classification,RandomForest,lat,0.003815540879640892
Classification,RandomForest,lon,0.01956276773913736
Classification,RandomForest,is_premium,0.00399084982604491
Classification,RandomForest,is_verified,0.0
Classification,RandomForest,is_featured,0.0008290854505302258
Classification,RandomForest,city,0.05607890116926643
Classification,RandomForest,town,0.09971414858809084
Classification,RandomForest,district,0.19081435560103596
Classification,RandomForest,property_type,0.006567337209074139
Classification,XGBoost,area_value,0.03828880563378334
Classification,XGBoost,log_area,0.04262303560972214
Classification,XGBoost,bedrooms,0.0
Classification,XGBoost,bathrooms,0.0
Classification,XGBoost,bed_bath_ratio,0.0
Classification,XGBoost,total_rooms,0.0
Classification,XGBoost,area_per_room,0.0385335348546505
Classification,XGBoost,area_x_beds,0.021911080926656723
Classification,XGBoost,area_flag,0.0
Classification,XGBoost,amenity_count,0.029930558055639267
Classification,XGBoost,is_furnished_binary,0.25131988525390625
Classification,XGBoost,has_pool,0.04537156596779823
Classification,XGBoost,has_private_pool,0.07647236436605453
Classification,XGBoost,has_gym,0.021919025108218193
Classification,XGBoost,has_garden,0.0073215896263718605
Classification,XGBoost,has_parking,0.006870474200695753
Classification,XGBoost,has_security,0.0
Classification,XGBoost,has_balcony,0.0
Classification,XGBoost,has_ac,0.07127607613801956
Classification,XGBoost,days_listed,0.0
Classification,XGBoost,lat,0.01623772829771042
Classification,XGBoost,lon,0.03270294517278671
Classification,XGBoost,is_premium,0.03212575241923332
Classification,XGBoost,is_verified,0.0
Classification,XGBoost,is_featured,0.020570041611790657
Classification,XGBoost,city,0.052412137389183044
Classification,XGBoost,town,0.08364130556583405
Classification,XGBoost,district,0.09498608857393265
Classification,XGBoost,property_type,0.015486050397157669
