listing_id,amen_balcony,amen_security,amen_covered_parking,amen_view_of_landmark,amen_shared_gym,amen_lobby_in_building,amen_central_a_c,amen_kitchen_appliances,amen_built_in_wardrobes,amen_shared_spa,amen_shared_pool,amen_walk_in_closet,amen_study,amen_children_s_pool,amen_view_of_water,amen_private_garden,amen_maids_room,amen_private_pool,amen_networked,amen_dining_in_building
HYEPN5XPWQT7K05K4ST7EDWW5R,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0
9Q295E8B6ET3V30Z31925BR6ZG,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
R9PTSC3V5RZ77ZT9X69TBE1PEC,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0
8385GKAA00BXE8FYPWNQ29VF3M,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
YQT77A2J44CPMV7H28J9V30ADR,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CZNJJSWAZXY42VC1WKS7E1MTT4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Q27YJVHJWZRC90T1544A38B060,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
EK68WFXXRSPY8BFDWHDGARVDQW,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
ZRFYCMMRE5122FNRHEVHHSQCRM,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
4A2TNSK7KWR1BD0SHCW9CHNQZW,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Z31Q1NKK1KGMR4GCD278WRMMFC,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
W069KJ5AX5SRX57WTP13RQ59PR,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
05RGXTK3MNHVQ0886RSFZFT5J0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
K4VBTJ9AQ5ZQ7CCXE5CQ3FJ9NW,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
8GRB2Q98JVYH9K1KCDS9B60228,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
PKKFP52PC71SJMV4485VQBKBK4,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
CZV2ANCN3W4XA3MKS06M8VD5Z0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0ZPY2NDJ4673B77VXWMVRZK1FR,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0
V6PP57PBY0H0C9WHFVF7A2Q0HW,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
JFS8J2H5EES2RNNWMPMBBAQF6C,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
WA60VHBCK5J137YK4BB5YGT7B4,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
SPYS1G7Y7JAG5XBATM91X7K30R,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
A55X7K98Y3FKQS79ERWRMTWGX0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
N9WNDEAQYSBYAPNJNVVZ2XM9W8,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
P1C7W05MW44BPN4D8V38HY2D84,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
A7KHWT2MM2P0B78EHSZRHVHKT8,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
